<'body system', 'issue in', 'biomedical occupation or discipline'>
<'tissue', 'location of', 'virus'>
<'research activity', 'measures', 'inorganic chemical'>
<'organ or tissue function', 'process of', 'virus'>
<'antibiotic', 'ingredient of', 'clinical drug'>
<'vitamin', 'interacts with', 'hazardous or poisonous substance'>
<'age group', 'isa', 'entity'>
<'neuroreactive substance or biogenic amine', 'causes', 'acquired abnormality'>
<'pharmacologic substance', 'complicates', 'acquired abnormality'>
<'professional society', 'location of', 'occupational activity'>
<'anatomical abnormality', 'issue in', 'biomedical occupation or discipline'>
<'organism function', 'result of', 'cell function'>
<'acquired abnormality', 'affects', 'cell function'>
<'governmental or regulatory activity', 'isa', 'event'>
<'clinical attribute', 'measurement of', 'organism function'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'receptor'>
<'cell function', 'result of', 'organism function'>
<'organophosphorus compound', 'affects', 'molecular function'>
<'anatomical structure', 'part of', 'vertebrate'>
<'cell or molecular dysfunction', 'affects', 'mental or behavioral dysfunction'>
<'conceptual entity', 'issue in', 'biomedical occupation or discipline'>
<'congenital abnormality', 'affects', 'organism'>
<'cell', 'part of', 'plant'>
<'disease or syndrome', 'process of', 'virus'>
<'research activity', 'measures', 'organism function'>
<'pathologic function', 'result of', 'environmental effect of humans'>
<'patient or disabled group', 'performs', 'diagnostic procedure'>
<'organism function', 'produces', 'immunologic factor'>
<'mental or behavioral dysfunction', 'result of', 'genetic function'>
<'age group', 'exhibits', 'individual behavior'>
<'diagnostic procedure', 'uses', 'drug delivery device'>
<'congenital abnormality', 'affects', 'fungus'>
<'hazardous or poisonous substance', 'affects', 'physiologic function'>
<'diagnostic procedure', 'measures', 'temporal concept'>
<'pathologic function', 'result of', 'biologic function'>
<'fully formed anatomical structure', 'produces', 'eicosanoid'>
<'laboratory or test result', 'indicates', 'pathologic function'>
<'clinical drug', 'isa', 'physical object'>
<'laboratory or test result', 'result of', 'laboratory procedure'>
<'experimental model of disease', 'produces', 'vitamin'>
<'physiologic function', 'affects', 'virus'>
<'cell component', 'part of', 'plant'>
<'enzyme', 'affects', 'mental or behavioral dysfunction'>
<'amphibian', 'issue in', 'biomedical occupation or discipline'>
<'diagnostic procedure', 'affects', 'pathologic function'>
<'research activity', 'measures', 'carbohydrate'>
<'congenital abnormality', 'part of', 'vertebrate'>
<'environmental effect of humans', 'result of', 'experimental model of disease'>
<'cell function', 'process of', 'plant'>
<'tissue', 'produces', 'enzyme'>
<'mental or behavioral dysfunction', 'complicates', 'injury or poisoning'>
<'physiologic function', 'result of', 'disease or syndrome'>
<'cell function', 'precedes', 'molecular function'>
<'physiologic function', 'process of', 'organism'>
<'experimental model of disease', 'associated with', 'pathologic function'>
<'anatomical structure', 'location of', 'bacterium'>
<'biologically active substance', 'affects', 'cell or molecular dysfunction'>
<'anatomical abnormality', 'part of', 'invertebrate'>
<'professional society', 'carries out', 'molecular biology research technique'>
<'gene or genome', 'part of', 'organism'>
<'biologically active substance', 'affects', 'natural phenomenon or process'>
<'archaeon', 'interacts with', 'organism'>
<'anatomical abnormality', 'result of', 'environmental effect of humans'>
<'idea or concept', 'conceptual part of', 'behavior'>
<'organic chemical', 'affects', 'organism function'>
<'gene or genome', 'part of', 'fungus'>
<'body space or junction', 'conceptual part of', 'body system'>
<'diagnostic procedure', 'assesses effect of', 'neuroreactive substance or biogenic amine'>
<'experimental model of disease', 'affects', 'mammal'>
<'congenital abnormality', 'associated with', 'organism attribute'>
<'enzyme', 'causes', 'neoplastic process'>
<'carbohydrate', 'affects', 'genetic function'>
<'cell or molecular dysfunction', 'process of', 'animal'>
<'professional or occupational group', 'diagnoses', 'pathologic function'>
<'anatomical abnormality', 'result of', 'biologic function'>
<'molecular function', 'process of', 'fish'>
<'mental or behavioral dysfunction', 'affects', 'invertebrate'>
<'neoplastic process', 'produces', 'neuroreactive substance or biogenic amine'>
<'hormone', 'causes', 'cell or molecular dysfunction'>
<'anatomical abnormality', 'part of', 'amphibian'>
<'organic chemical', 'interacts with', 'enzyme'>
<'therapeutic or preventive procedure', 'associated with', 'pathologic function'>
<'disease or syndrome', 'affects', 'organism function'>
<'disease or syndrome', 'precedes', 'mental or behavioral dysfunction'>
<'pathologic function', 'affects', 'bird'>
<'organophosphorus compound', 'interacts with', 'biomedical or dental material'>
<'neoplastic process', 'produces', 'body substance'>
<'finding', 'evaluation of', 'pathologic function'>
<'governmental or regulatory activity', 'associated with', 'cell or molecular dysfunction'>
<'professional or occupational group', 'manages', 'health care related organization'>
<'cell or molecular dysfunction', 'process of', 'experimental model of disease'>
<'mental or behavioral dysfunction', 'affects', 'amphibian'>
<'acquired abnormality', 'part of', 'fish'>
<'receptor', 'complicates', 'anatomical abnormality'>
<'experimental model of disease', 'complicates', 'pathologic function'>
<'pathologic function', 'degree of', 'experimental model of disease'>
<'pathologic function', 'affects', 'molecular function'>
<'fully formed anatomical structure', 'location of', 'cell function'>
<'physiologic function', 'isa', 'biologic function'>
<'self help or relief organization', 'isa', 'entity'>
<'body substance', 'consists of', 'organic chemical'>
<'daily or recreational activity', 'issue in', 'occupation or discipline'>
<'body part organ or organ component', 'produces', 'nucleic acid nucleoside or nucleotide'>
<'fish', 'interacts with', 'organism'>
<'mental process', 'isa', 'phenomenon or process'>
<'plant', 'interacts with', 'reptile'>
<'laboratory procedure', 'measures', 'chemical viewed structurally'>
<'physiologic function', 'process of', 'pathologic function'>
<'inorganic chemical', 'affects', 'organ or tissue function'>
<'laboratory procedure', 'analyzes', 'indicator reagent or diagnostic aid'>
<'cell or molecular dysfunction', 'process of', 'mammal'>
<'nucleic acid nucleoside or nucleotide', 'affects', 'cell function'>
<'group', 'produces', 'research device'>
<'immunologic factor', 'complicates', 'genetic function'>
<'injury or poisoning', 'result of', 'acquired abnormality'>
<'reptile', 'isa', 'animal'>
<'population group', 'uses', 'drug delivery device'>
<'drug delivery device', 'causes', 'anatomical abnormality'>
<'anatomical abnormality', 'affects', 'cell function'>
<'organic chemical', 'issue in', 'biomedical occupation or discipline'>
<'neoplastic process', 'manifestation of', 'physiologic function'>
<'individual behavior', 'result of', 'mental process'>
<'biologic function', 'produces', 'immunologic factor'>
<'mental or behavioral dysfunction', 'co-occurs with', 'cell or molecular dysfunction'>
<'mental or behavioral dysfunction', 'associated with', 'pathologic function'>
<'fungus', 'interacts with', 'invertebrate'>
<'biomedical or dental material', 'causes', 'disease or syndrome'>
<'therapeutic or preventive procedure', 'complicates', 'pathologic function'>
<'cell or molecular dysfunction', 'result of', 'congenital abnormality'>
<'chemical viewed functionally', 'affects', 'pathologic function'>
<'immunologic factor', 'indicates', 'experimental model of disease'>
<'amino acid peptide or protein', 'affects', 'physiologic function'>
<'eicosanoid', 'affects', 'molecular function'>
<'age group', 'uses', 'medical device'>
<'lipid', 'interacts with', 'chemical'>
<'molecular function', 'produces', 'biologically active substance'>
<'chemical viewed structurally', 'affects', 'cell or molecular dysfunction'>
<'organic chemical', 'interacts with', 'receptor'>
<'steroid', 'affects', 'experimental model of disease'>
<'qualitative concept', 'evaluation of', 'activity'>
<'indicator reagent or diagnostic aid', 'isa', 'substance'>
<'acquired abnormality', 'affects', 'virus'>
<'element ion or isotope', 'interacts with', 'hazardous or poisonous substance'>
<'cell function', 'affects', 'mental or behavioral dysfunction'>
<'fungus', 'interacts with', 'amphibian'>
<'mental or behavioral dysfunction', 'process of', 'cell or molecular dysfunction'>
<'spatial concept', 'isa', 'idea or concept'>
<'laboratory procedure', 'measures', 'mental or behavioral dysfunction'>
<'tissue', 'location of', 'acquired abnormality'>
<'embryonic structure', 'location of', 'experimental model of disease'>
<'molecular function', 'result of', 'experimental model of disease'>
<'receptor', 'affects', 'organ or tissue function'>
<'machine activity', 'issue in', 'occupation or discipline'>
<'archaeon', 'isa', 'entity'>
<'nucleic acid nucleoside or nucleotide', 'isa', 'organic chemical'>
<'group', 'produces', 'classification'>
<'behavior', 'associated with', 'clinical attribute'>
<'professional or occupational group', 'isa', 'entity'>
<'laboratory procedure', 'measures', 'quantitative concept'>
<'acquired abnormality', 'complicates', 'congenital abnormality'>
<'mental or behavioral dysfunction', 'complicates', 'anatomical abnormality'>
<'laboratory procedure', 'analyzes', 'chemical viewed functionally'>
<'reptile', 'issue in', 'biomedical occupation or discipline'>
<'gene or genome', 'produces', 'biologically active substance'>
<'mammal', 'interacts with', 'archaeon'>
<'eicosanoid', 'causes', 'neoplastic process'>
<'mental or behavioral dysfunction', 'result of', 'injury or poisoning'>
<'embryonic structure', 'part of', 'human'>
<'individual behavior', 'associated with', 'clinical attribute'>
<'clinical attribute', 'measurement of', 'cell function'>
<'molecular function', 'produces', 'hormone'>
<'research activity', 'measures', 'receptor'>
<'body part organ or organ component', 'location of', 'congenital abnormality'>
<'therapeutic or preventive procedure', 'affects', 'organ or tissue function'>
<'congenital abnormality', 'result of', 'natural phenomenon or process'>
<'vitamin', 'causes', 'mental or behavioral dysfunction'>
<'molecular biology research technique', 'measures', 'organism attribute'>
<'molecular function', 'affects', 'neoplastic process'>
<'enzyme', 'disrupts', 'tissue'>
<'finding', 'manifestation of', 'genetic function'>
<'research activity', 'measures', 'cell function'>
<'mental process', 'co-occurs with', 'genetic function'>
<'event', 'issue in', 'occupation or discipline'>
<'cell or molecular dysfunction', 'result of', 'human caused phenomenon or process'>
<'organ or tissue function', 'produces', 'immunologic factor'>
<'diagnostic procedure', 'analyzes', 'enzyme'>
<'lipid', 'affects', 'organ or tissue function'>
<'inorganic chemical', 'affects', 'biologic function'>
<'organ or tissue function', 'affects', 'reptile'>
<'cell component', 'issue in', 'occupation or discipline'>
<'experimental model of disease', 'result of', 'acquired abnormality'>
<'fish', 'isa', 'entity'>
<'anatomical abnormality', 'part of', 'fish'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'biologically active substance'>
<'enzyme', 'causes', 'disease or syndrome'>
<'physiologic function', 'isa', 'event'>
<'pharmacologic substance', 'causes', 'mental or behavioral dysfunction'>
<'disease or syndrome', 'manifestation of', 'genetic function'>
<'genetic function', 'produces', 'immunologic factor'>
<'organization', 'carries out', 'laboratory procedure'>
<'laboratory or test result', 'measurement of', 'indicator reagent or diagnostic aid'>
<'vitamin', 'affects', 'experimental model of disease'>
<'body part organ or organ component', 'part of', 'invertebrate'>
<'body space or junction', 'conceptual part of', 'fully formed anatomical structure'>
<'gene or genome', 'produces', 'hormone'>
<'mental or behavioral dysfunction', 'affects', 'fish'>
<'cell or molecular dysfunction', 'complicates', 'acquired abnormality'>
<'cell or molecular dysfunction', 'manifestation of', 'organ or tissue function'>
