pharmacologic substance, complicates, anatomical abnormality
food, affects, organ or tissue function
steroid, interacts with, hazardous or poisonous substance
pharmacologic substance, causes, experimental model of disease
congenital abnormality, result of, neoplastic process
mental or behavioral dysfunction, co-occurs with, neoplastic process
hazardous or poisonous substance, complicates, neoplastic process
biomedical or dental material, affects, experimental model of disease
chemical viewed structurally, interacts with, element ion or isotope
human, interacts with, organism
pathologic function, precedes, mental or behavioral dysfunction
eicosanoid, causes, pathologic function
pathologic function, affects, rickettsia or chlamydia
invertebrate, interacts with, organism
pharmacologic substance, causes, anatomical abnormality
nucleic acid nucleoside or nucleotide, isa, chemical viewed structurally
chemical viewed structurally, causes, mental or behavioral dysfunction
hormone, complicates, experimental model of disease
pharmacologic substance, complicates, mental process
pathologic function, process of, experimental model of disease
hazardous or poisonous substance, causes, neoplastic process
mental or behavioral dysfunction, occurs in, professional or occupational group
chemical, affects, disease or syndrome
hormone, causes, experimental model of disease
mental or behavioral dysfunction, process of, experimental model of disease
cell function, process of, neoplastic process
population group, performs, research activity
chemical, causes, mental or behavioral dysfunction
element ion or isotope, affects, neoplastic process
cell or molecular dysfunction, process of, organism
pharmacologic substance, treats, sign or symptom
neoplastic process, precedes, experimental model of disease
vitamin, disrupts, tissue
biologic function, process of, organ or tissue function
anatomical structure, issue in, biomedical occupation or discipline
pathologic function, process of, mental process
disease or syndrome, affects, organism
carbohydrate, isa, physical object
amino acid peptide or protein, interacts with, element ion or isotope
laboratory procedure, diagnoses, pathologic function
element ion or isotope, interacts with, inorganic chemical
mental or behavioral dysfunction, process of, mental process
vitamin, complicates, neoplastic process
fully formed anatomical structure, produces, biologically active substance
congenital abnormality, location of, neoplastic process
virus, interacts with, fish
mental or behavioral dysfunction, produces, receptor
nucleic acid nucleoside or nucleotide, interacts with, biologically active substance
pathologic function, affects, genetic function
vitamin, causes, neoplastic process
self help or relief organization, isa, entity
lipid, interacts with, pharmacologic substance
reptile, interacts with, organism
amino acid peptide or protein, isa, chemical
diagnostic procedure, affects, pathologic function
antibiotic, prevents, pathologic function
experimental model of disease, process of, mental process
disease or syndrome, process of, organism
molecular biology research technique, measures, pathologic function
indicator reagent or diagnostic aid, affects, experimental model of disease
biologically active substance, complicates, disease or syndrome
molecular biology research technique, measures, carbohydrate
eicosanoid, isa, physical object
enzyme, isa, physical object
laboratory procedure, analyzes, steroid
organism attribute, result of, experimental model of disease
carbohydrate, interacts with, chemical viewed functionally
biologic function, result of, phenomenon or process
steroid, interacts with, hormone
pathologic function, affects, mental or behavioral dysfunction
human caused phenomenon or process, result of, pathologic function
immunologic factor, complicates, experimental model of disease
biologically active substance, causes, disease or syndrome
neoplastic process, affects, organism function
organ or tissue function, result of, experimental model of disease
experimental model of disease, result of, pathologic function
biologic function, affects, amphibian
cell or molecular dysfunction, manifestation of, experimental model of disease
chemical viewed structurally, issue in, biomedical occupation or discipline
organ or tissue function, affects, fish
population group, uses, manufactured object
sign or symptom, manifestation of, experimental model of disease
biologic function, process of, bacterium
biologic function, result of, disease or syndrome
acquired abnormality, location of, neoplastic process
tissue, part of, fungus
element ion or isotope, affects, natural phenomenon or process
organism function, process of, experimental model of disease
immunologic factor, indicates, experimental model of disease
cell or molecular dysfunction, precedes, pathologic function
tissue, produces, organic chemical
embryonic structure, part of, archaeon
research activity, associated with, congenital abnormality
pathologic function, precedes, disease or syndrome
research activity, measures, biologically active substance
chemical, affects, neoplastic process
educational activity, associated with, experimental model of disease
chemical, issue in, biomedical occupation or discipline
chemical viewed structurally, causes, disease or syndrome
chemical viewed functionally, interacts with, biologically active substance
experimental model of disease, affects, mental or behavioral dysfunction
laboratory or test result, associated with, pathologic function
chemical viewed structurally, interacts with, hazardous or poisonous substance
mental or behavioral dysfunction, precedes, disease or syndrome
food, isa, entity
organ or tissue function, process of, fish
congenital abnormality, manifestation of, neoplastic process
embryonic structure, part of, fungus
organic chemical, affects, biologic function
nucleic acid nucleoside or nucleotide, causes, neoplastic process
injury or poisoning, result of, experimental model of disease
biologically active substance, disrupts, mental process
embryonic structure, issue in, occupation or discipline
pathologic function, occurs in, patient or disabled group
biologic function, process of, virus
biologically active substance, interacts with, enzyme
disease or syndrome, associated with, mental or behavioral dysfunction
experimental model of disease, complicates, pathologic function
lipid, interacts with, element ion or isotope
biologically active substance, complicates, injury or poisoning
steroid, interacts with, antibiotic
lipid, causes, mental or behavioral dysfunction
neoplastic process, affects, physiologic function
tissue, location of, mental process
biologic function, process of, pathologic function
fully formed anatomical structure, location of, mental process
manufactured object, causes, mental or behavioral dysfunction
organism function, result of, pathologic function
body substance, isa, physical object
tissue, location of, physiologic function
self help or relief organization, carries out, educational activity
health care activity, associated with, neoplastic process
congenital abnormality, isa, anatomical structure
mental or behavioral dysfunction, result of, mental process
pathologic function, issue in, occupation or discipline
anatomical structure, part of, archaeon
research activity, associated with, acquired abnormality
genetic function, affects, pathologic function
animal, isa, organism
pathologic function, affects, animal
biologically active substance, complicates, neoplastic process
experimental model of disease, occurs in, patient or disabled group
therapeutic or preventive procedure, prevents, experimental model of disease
laboratory or test result, manifestation of, mental or behavioral dysfunction
mental process, produces, biologically active substance
organism function, affects, mental or behavioral dysfunction
neoplastic process, produces, hormone
antibiotic, complicates, mental or behavioral dysfunction
research activity, isa, event
research device, causes, pathologic function
biologically active substance, causes, neoplastic process
diagnostic procedure, diagnoses, neoplastic process
mental or behavioral dysfunction, complicates, experimental model of disease
medical device, prevents, experimental model of disease
laboratory procedure, analyzes, pharmacologic substance
mental or behavioral dysfunction, result of, health care activity
drug delivery device, causes, experimental model of disease
neoplastic process, process of, mammal
cell or molecular dysfunction, affects, pathologic function
neoplastic process, process of, molecular function
mental or behavioral dysfunction, complicates, anatomical abnormality
chemical, isa, entity
antibiotic, causes, mental or behavioral dysfunction
biologic function, result of, neoplastic process
therapeutic or preventive procedure, complicates, experimental model of disease
neoplastic process, process of, biologic function
eicosanoid, affects, biologic function
enzyme, affects, biologic function
sign or symptom, evaluation of, mental or behavioral dysfunction
inorganic chemical, affects, molecular function
self help or relief organization, location of, therapeutic or preventive procedure
neoplastic process, affects, bird
inorganic chemical, affects, biologic function
chemical viewed structurally, interacts with, neuroreactive substance or biogenic amine
mental or behavioral dysfunction, affects, disease or syndrome
pathologic function, precedes, neoplastic process
chemical viewed structurally, interacts with, hormone
acquired abnormality, isa, anatomical structure
carbohydrate, affects, natural phenomenon or process
fish, isa, animal
research activity, measures, eicosanoid
