mental or behavioral dysfunction, result of, health care activity
physical object, isa, entity
anatomical abnormality, affects, organism
steroid, affects, genetic function
organophosphorus compound, affects, mental or behavioral dysfunction
anatomical structure, part of, archaeon
amino acid peptide or protein, isa, substance
hormone, isa, chemical
human caused phenomenon or process, result of, neoplastic process
clinical attribute, result of, molecular function
indicator reagent or diagnostic aid, affects, physiologic function
gene or genome, location of, injury or poisoning
anatomical abnormality, isa, physical object
physiologic function, affects, fish
antibiotic, disrupts, mental process
cell function, result of, organ or tissue function
hormone, disrupts, genetic function
quantitative concept, isa, conceptual entity
disease or syndrome, result of, laboratory procedure
pathologic function, isa, event
biologic function, result of, environmental effect of humans
injury or poisoning, disrupts, physiologic function
acquired abnormality, affects, genetic function
pathologic function, affects, animal
molecular function, affects, organism function
indicator reagent or diagnostic aid, isa, physical object
neoplastic process, result of, anatomical abnormality
receptor, affects, molecular function
element ion or isotope, affects, biologic function
experimental model of disease, affects, biologic function
organophosphorus compound, affects, genetic function
experimental model of disease, result of, physiologic function
cell function, affects, molecular function
embryonic structure, location of, physiologic function
human caused phenomenon or process, result of, mental or behavioral dysfunction
mental process, affects, organ or tissue function
congenital abnormality, location of, bacterium
pathologic function, affects, organism
tissue, location of, rickettsia or chlamydia
biologic function, result of, injury or poisoning
congenital abnormality, affects, genetic function
acquired abnormality, affects, alga
cell component, isa, physical object
disease or syndrome, affects, biologic function
disease or syndrome, result of, physiologic function
congenital abnormality, part of, vertebrate
population group, isa, group
acquired abnormality, part of, archaeon
chemical, affects, biologic function
lipid, isa, chemical viewed structurally
congenital abnormality, result of, organ or tissue function
human caused phenomenon or process, result of, genetic function
anatomical abnormality, affects, molecular function
occupation or discipline, isa, entity
chemical, isa, entity
congenital abnormality, affects, alga
health care related organization, location of, governmental or regulatory activity
anatomical structure, location of, virus
cell function, affects, invertebrate
molecular function, result of, pathologic function
enzyme, isa, physical object
cell component, part of, animal
mental or behavioral dysfunction, result of, organism function
archaeon, isa, entity
environmental effect of humans, result of, congenital abnormality
fully formed anatomical structure, isa, entity
neoplastic process, result of, mental or behavioral dysfunction
anatomical abnormality, result of, diagnostic procedure
biologic function, isa, natural phenomenon or process
mental process, result of, biologic function
anatomical abnormality, part of, amphibian
